rank,Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
67,IOTA MIOTA,0.16979,471937336,3494360,-1.35,-0.37,-0.21,5.69002,-97
68,ApeCoin APE,1.22228,450525259,38222713,-3.79,-9.69,-38.66,26.8373,-95
69,Rocket Pool RPL,22.4856,442840681,3295437,-2.57,-8.38,-17.13,63.6515,-65
70,eCash XEC,0.00002,437876799,6171387,-1.65,-3.3,-23.27,0.00039,-94
71,Flow FLOW,0.41275,427686743,22016659,-2.67,-4.35,-26.52,43.8585,-99
72,Chiliz CHZ,0.05718,423246134,25909504,-1.12,-4.27,-25.25,0.89121,-94
73,Klaytn KLAY,0.13135,418717435,5109902,0.59,-1.27,-16.72,2.96753,-96
74,Zcash ZEC,25.0429,408907330,36724659,0.71,1.43,-14.01,5941.80,-100
75,KuCoin Token KCS,4.10825,397403361,526909,-0.83,2.17,-26.73,28.8059,-86
76,Conflux Network CFX,0.12157,396500508,22464711,-0.31,0.58,-32.66,0.97212,-88
77,Huobi Token HT,2.40095,389514560,7707363,-1.06,1.15,-7.37,39.6615,-94
78,Casper CSPR,0.03354,379297164,2144935,-0.33,-4.97,-13.33,0.24006,-86
79,BitTorrent BTT,0.00000,377297203,15804107,-0.52,-4.77,-19.26,0.01428,-100
80,Frax Share FXS,5.06469,372477496,17766010,-3.44,-8.46,16.11,207.337,-77
81,Curve DAO Token CRV,0.42646,370101210,20609786,-0.95,-2.42,-27.57,6.73730,-94
82,GateToken GT,3.82536,367394842,599392,-1.16,-2.4,-6.72,13.2873,-71
83,Mina MINA,0.37663,363831858,6051317,0.08,0.98,-18.69,6.45649,-94
84,Sui SUI,0.45256,358329247,55406115,-2.0,-6.48,-25.41,1.39525,-68
85,Gala GALA,0.01479,348754177,47785378,-0.93,-11.32,-36.0,0.83431,-98
86,Terra Classic LUNC,0.00006,344610403,15497481,-0.03,-1.06,-24.1,119.418,-100
87,Nexo NEXO,0.56898,318627515,2101855,-1.84,-1.92,-10.42,4.07458,-86
88,Astar ASTR,0.05937,311906433,7536575,0.23,7.25,2.86,0.11459,-48
89,Trust Wallet Token TWT,0.74618,310897588,12404887,-4.31,-7.11,-17.79,2.73925,-73
90,APENFT NFT,0.00000,308208146,12121890,-0.37,-0.75,-5.91,0.00001,-96
91,Gemini Dollar GUSD,0.99911,307179017,371172,0.04,0.24,-0.15,1.65168,-39
92,dYdX DYDX,1.94307,303616184,27437994,0.34,-6.36,-12.7,14.8252,-87
93,Dash DASH,25.5654,292665377,34960304,-1.18,-0.08,-20.93,1642.22,-98
94,Compound COMP,36.9767,289346814,25069889,-0.23,-8.26,-6.36,127.759,-100
95,Flare FLR,0.01241,285077870,2533533,-0.98,-5.96,-8.85,0.04955,-74
96,GMX GMX,31.2748,281786513,7729899,-1.99,-3.81,-33.82,91.0872,-66
97,WOO Network WOO,0.15801,276555229,4802933,0.8,-4.33,-17.17,1.77363,-91
98,Pepe PEPE,0.00000,276417185,55884947,-2.83,-12.44,481.92,0.00000,-63
99,PancakeSwap CAKE,1.22451,271825947,13180542,-0.26,-0.87,-16.37,44.1414,-97
